buurtcode,naam,totaal
BU17830256,"Bedrijventerrein Bloemenveiling",168
BU15860609,"Bedrijventerrein Brandemat",3
BU07840107,"Bedrijventerrein Broekakkers",527
BU03520010,"Bedrijventerrein Broekweg & Langshaven",544
BU03530016,"Bedrijventerrein De Corridor",3
BU01480207,"Bedrijventerrein De Evenboer",29
BU01480206,"Bedrijventerrein De Grift",135
BU07960903,"Bedrijventerrein De Herven",460
BU18920402,"Bedrijventerrein De Hooge Veenen",143
BU02220608,"Bedrijventerrein De Huet",25
BU05032807,"Bedrijventerrein Delftech",598
BU05031603,"Bedrijventerrein Delftse Poort-Oost",118
BU05031208,"Bedrijventerrein Delftse Poort-West",208
BU16580001,"Bedrijventerrein De Poortmannen",73
BU04840506,"Bedrijventerrein De Schans I",129
BU04840812,"Bedrijventerrein De Schans II",268
BU02431003,"Bedrijventerrein De Sypel",111
BU01934010,"Bedrijventerrein de Vrolijkheid",339
BU03440911,"Bedrijventerrein De Wetering",1123
BU17830155,"Bedrijventerrein De Woerd",10
BU16590102,"Bedrijventerrein Duivenakker",69
BU07700102,"Bedrijventerrein Duizel",1
BU07700005,"Bedrijventerrein Eersel",157
BU03440333,"Bedrijventerrein en omgeving",5584
BU08556615,"Bedrijventerrein Enschot",118
BU01931180,"Bedrijventerrein Floresstraat",150
BU09950118,"Bedrijventerrein Gildenhof",197
BU19522002,"Bedrijventerrein Gouden Driehoek",94
BU18920310,"Bedrijventerrein Gouwepark",402
BU05051104,"Bedrijventerrein Groene Zoom",121
BU05031200,"Bedrijventerrein Haagweg",150
BU07840007,"Bedrijventerrein Haansberg",511
BU09831208,"bedrijventerrein Hagerhof",108
BU03637200,"Bedrijventerrein Hamerstraat",146
BU19301002,"Bedrijventerrein Haven-Noord",45
BU04840107,"Bedrijventerrein Heimanswetering",316
BU01934040,"Bedrijventerrein Hessenpoort",2631
BU08553401,"Bedrijventerrein Het Laar",425
BU17830351,"Bedrijventerrein Honderland & Coldenhove",78
BU17830251,"Bedrijventerrein Honsel",1
BU06320103,"Bedrijventerrein Honthorst",95
BU04849604,"Bedrijventerrein Hoogewaard",69
BU09950638,"Bedrijventerrein Jol",34
BU09950528,"Bedrijventerrein Kempenaar",162
BU02220802,"Bedrijventerrein Keppelseweg",26
BU09950428,"Bedrijventerrein Ketelmeerstraat",194
BU08555904,"Bedrijventerrein Kraaiven",1346
BU08555905,"Bedrijventerrein Kraaiven PDV",356
BU08555903,"Bedrijventerrein Kraaiven West",34
BU08556707,"Bedrijventerrein Kreitenmolen",310
BU07960605,"Bedrijventerrein Kruisstraat",277
BU03440133,"Bedrijventerrein Lageweide",3089
BU03633700,"Bedrijventerrein Landlust",110
BU19450801,"Bedrijventerrein Lieskes Wengs",1
BU07961010,"Bedrijventerrein Maaspoort",744
BU01931350,"Bedrijventerrein Marslanden-Noord",59
BU01934110,"Bedrijventerrein Marslanden-Zuid",2011
BU09950734,"Bedrijventerrein Middendreef",46
BU18920105,"Bedrijventerrein Moerkapelle",96
BU19450902,"Bedrijventerrein Molenveld",18
BU04840801,"Bedrijventerrein Molenwetering",775
BU03637202,"Bedrijventerrein Nieuwendammerdijk",26
BU02960117,"Bedrijventerrein Nieuwenweg",39
BU04570902,"Bedrijventerrein Nijverheidslaan",18
BU04570304,"Bedrijventerrein Noord",41
BU05121700,"Bedrijventerrein Noord",64
BU07960915,"Bedrijventerrein-Noord",252
BU07961302,"Bedrijventerrein Nuland",39
BU07180702,"Bedrijventerrein Oost-Souburg West",28
BU06320304,"Bedrijventerrein Polanen",124
BU08556605,"Bedrijventerrein Rhijnkant",85
BU19591002,"Bedrijventerrein Rietdijk",40
BU04840402,"Bedrijventerrein Rijnhaven-Oost",1509
BU04840401,"Bedrijventerrein Rijnhaven-West",558
BU05032804,"Bedrijventerrein Rotterdamseweg-Noord",113
BU05032900,"Bedrijventerrein Rotterdamseweg-Zuid",18
BU08556601,"Bedrijventerrein Schepersven",167
BU05032702,"Bedrijventerrein Schieweg-Noord",177
BU05032703,"Bedrijventerrein Schieweg-Zuid",377
BU03634405,"Bedrijventerrein Schinkel",207
BU03633601,"Bedrijventerrein Sloterdijk I",517
BU03030708,"Bedrijventerrein Spelwijk",90
BU16690502,"Bedrijventerrein Stationsweg",17
BU18920308,"Bedrijventerrein 't Ambacht",356
BU05032300,"Bedrijventerrein Tanthof-Oost",446
BU05032200,"Bedrijventerrein Tanthof-West",129
BU05032901,"Bedrijventerrein Technopolis",1446
BU00141506,"Bedrijventerrein Ten Boer",17
BU01480304,"Bedrijventerrein 't Febriek",89
BU09950748,"Bedrijventerrein Tjalk",63
BU16590101,"Bedrijventerrein Torenakker",73
BU07772200,"Bedrijventerrein Trivium",554
BU01640600,"Bedrijventerrein Twentekanaal-Zuid I",7
BU04570101,"Bedrijventerrein Van Houten",101
BU02210107,"Bedrijventerrein Verhuellweg",48
BU17830511,"Bedrijventerrein Vlotlaan",4
BU05032402,"Bedrijventerrein Voorhof",129
BU01932000,"Bedrijventerrein Voorst-A",404
BU01932010,"Bedrijventerrein Voorst-B",751
BU01932130,"Bedrijventerrein Voorst-C",377
BU01932140,"Bedrijventerrein Voorst-D",216
BU08556004,"Bedrijventerrein Vossenberg",829
BU08556006,"Bedrijventerrein Vossenberg PDV",37
BU08556003,"Bedrijventerrein Vossenberg Scheg",116
BU08556002,"Bedrijventerrein Vossenberg West I",939
BU08556001,"Bedrijventerrein Vossenberg West II",380
BU07771100,"Bedrijventerrein Vossendaal",431
BU15980708,"Bedrijventerrein Vredemaker",25
BU05032408,"Bedrijventerrein Vulcanusweg",38
BU17830612,"Bedrijventerrein Wateringen",160
BU05031100,"Bedrijventerrein Wateringseweg",50
BU17830702,"Bedrijventerrein Westerlee",15
BU01640705,"Bedrijventerrein Westermaat-Noordoost",2
BU09833202,"Bedrijventerrein Windhond",75
BU05031601,"Bedrijventerrein Ypenburgsepoort",119
BU01640606,"Bedrijventerrein Zeggershoek",50
BU18920204,"Bedrijventerrein Zevenhuizen",233
BU07960204,"Bedrijventerrein-Zuid",110
BU19660000,"Bedum",72
BU19550100,"Beek",30
BU16590000,"Beek",3468
BU02001401,"Beekbergen",108
BU05750001,"Beeklaan-kwartier",2168
BU01411602,"Beeklust",158
BU05050601,"Beekmanstraat en omgeving",97
BU19450000,"Beek-Midden",17
BU19450001,"Beek-Oost",27
BU19450002,"Beek-West",3
BU02741201,"Beelaertslaan",295
BU07727270,"Beemden",529
BU05020551,"Beemster/Purmerhoek",374
BU04840604,"Beerendrecht",1078
BU16840419,"Beers buitengebied",219
BU03101002,"Beerschoten-Oostbroek",2724
BU16840410,"Beers kern",39
BU18950300,"Beerta-Centrum",20
BU19600209,"Beesd e.o.",1203
BU19600201,"Beesd Oost",548
BU19600200,"Beesd West",816
BU03634901,"Beethovenbuurt",386
BU08280606,"Beethovengaarde en Lisztgaarde",920
BU03850301,"Beets",418
BU00860209,"Beetsterzwaag-Buitengebied",11
BU03630106,"Begijnhofbuurt",40
BU09951031,"Beginweg, Bronsweg, Jupiterweg",148
BU19040119,"Begraafplaats Maarssen",20
BU03960802,"Beijerlust",440
BU03750202,"Beijnes",388
BU03960702,"Beijnesbuurt",444
BU00141100,"Beijum-West",136
BU03941193,"Beinsdorp",168
BU03941192,"Beinsdorp Omgeving",9
BU02210105,"Beinum II",7
BU07941100,"Beisterveld",860
BU07941101,"Beisterveldse Broek",835
BU01731400,"Bekspring",280
BU07580100,"Belcrum",974
BU03638806,"Belgiëplein e.o.",197
BU05180271,"Belgisch Park",889
BU07660106,"Beljaart",695
BU03631800,"Bellamybuurt Noord",163
BU03631801,"Bellamybuurt Zuid",139
BU04530404,"Bellatrixbuurt",190
BU19500000,"Bellingwolde",70
BU05051013,"Belthure Park",2127
BU17081000,"Belt-Schutsloot",16
BU09350303,"Belvédère",61
BU17050000,"Bemmel",5336
BU19310403,"Benedenberg en Zuidbroek",312
BU02890702,"Benedenbuurt",21
BU02970202,"Beneden-Delwijnen",203
BU19310802,"Beneden-Haastrecht",221
BU19311002,"Benedenkerk",23
BU03350202,"Beneden Kerkweg",74
BU05120102,"Benedenstad",1029
BU07727240,"Bennekel-Oost",1203
BU07727250,"Bennekel-West, Gagelbosch",1589
BU02283002,"Bennekom-Zuidoost",1212
BU04200702,"Benningbroek Buitengebied",1149
BU04200701,"Benningbroek Centrum",197
BU03310019,"Benschop Boveneind-Benedeneind",184
BU17350900,"Bentelo kern",182
BU04843103,"Benthuizen Dorp-Oost",697
BU04843102,"Benthuizen Dorp-West",266
BU04730301,"Bentveld Noord",188
BU04730302,"Bentveld Zuid",97
BU04843104,"Bentwoud",532
BU07942104,"Berenbroek",1003
BU09940400,"Berg",729
BU19310400,"Bergambacht-Dorp",122
BU16212864,"Bergboezem",86
BU07721120,"Bergen",632
BU05020556,"Bergenbuurt",180
BU15250401,"Berg en Dal",2
BU08650109,"Bergenshuizen",3527
BU01600501,"Bergentheim Kern",63
BU02960400,"Bergharen",13
BU08281000,"Berghem-Noord",1779
BU08280101,"Berghemseweg-Zuid",353
BU08281001,"Berghem-Zuid",1972
BU01500102,"Bergkwartier",136
BU05990531,"Bergpolder",872
BU09940405,"Bergse Heide",24
BU16211514,"Bergse Nos",3
BU07480300,"Bergse Plaat",4970
BU19310500,"Bergstoep",190
BU17110521,"Berkelaar",109
BU16212111,"Berkel Dorp",1
BU08556606,"Berkel Noord",674
BU08556607,"Berkelse Akkers",320
BU16212633,"Berkelse Poort",38
BU07941809,"Berkendonk",952
BU05530201,"Berkhout",562
BU15980507,"Berkhout Verspreide huizen Zuid",452
BU15980101,"Berkmeerdijk",17
BU01934000,"Berkum",2650
BU19491803,"Berltsum Bedrijventerrein West",57
BU19491804,"Berltsum Kassen",324
BU19491801,"Berltsum Noord",572
BU19491802,"Berltsum Zuid",442
BU19310102,"Beroepenbuurt",4
BU03634800,"Bertelmanpleinbuurt",91
BU08670001,"Besoijen",261
BU08552601,"Besterd",255
BU17000404,"Beter Wonen",1
BU03635700,"Betondorp",308
BU17210501,"Beugt",157
BU03550504,"Beukbergen",670
BU19520103,"Beukemabuurt",118
BU02090101,"Beuningen-Buitengebied Zuid",213
BU17290602,"Beutenaken",187
BU05991290,"Beverwaard",3803
BU05050112,"Beverwijcksplein en omgeving",253
BU03830301,"Beverwijkerstraatweg",1055
BU03450208,"Bezuiden de Middelbuurtseweg",2
BU05182665,"Bezuidenhout-Midden",1584
BU05182666,"Bezuidenhout-Oost",1524
BU05182664,"Bezuidenhout-West",812
BU03630004,"BG-terrein e.o.",98
BU00100737,"Bierum",455
BU03840308,"Biesbosch",4
BU07580102,"Biesdonk",1820
BU03071902,"Bieshaar-Noord",18
BU03071903,"Bieshaar-Zuid",32
BU05031206,"Biesland",397
BU00100728,"Biessum",84
BU09881201,"Biest",93
BU07980200,"Biest-Houtakker",466
BU07660107,"Biezen",877
BU04530601,"Biezenbuurt",433
BU07880400,"Biezenmortel",364
BU04847007,"Biezen-Oost",162
BU04847006,"Biezen-West",693
BU07171000,"Biggekerke",320
